video_id,publish_time,views
7oRdswHqaf8,2017-11-14T14:01:36.000Z,20778
oTObwUiXdYY,2017-11-13T15:44:35.000Z,30438
qC0I5PEhkJo,2010-01-14T15:56:31.000Z,94694
VifQlJit6A0,2017-11-13T03:00:00.000Z,211683
PaJCFHXcWmM,2017-11-13T17:00:04.000Z,210393
0zk2SwmCpss,2017-11-14T06:24:27.000Z,63780
SGVbdo2CkgI,2017-11-14T13:00:16.000Z,18438
nc99ccSXST0,2017-11-12T21:50:37.000Z,1099318
NfLVVJOuY5M,2017-11-14T16:00:04.000Z,71661
F388-6yDDpc,2017-11-13T00:51:15.000Z,935879
KhdecX0qjNA,2017-11-13T20:11:43.000Z,131153
iIxy3JN3-jc,2017-11-13T15:42:28.000Z,84149
kWIzjMWmuYk,2017-11-14T17:27:46.000Z,34138
symdi5KSJts,2017-11-14T13:00:16.000Z,144937
_-aDHxoblr4,2017-11-13T16:00:03.000Z,306550
eNSN6qet1kE,2017-11-13T15:30:17.000Z,328325
39idVpFF7NQ,2017-11-12T05:37:17.000Z,2472569
U0hAC8O7RoI,2017-11-13T01:43:12.000Z,341074
5hEJsoDP2q4,2017-11-14T17:00:12.000Z,113963
NZFhMSgbKKM,2017-11-13T15:11:00.000Z,21544
lBHPVE3AI6Y,2017-11-13T15:03:21.000Z,93322
e_7zHm7GsYc,2017-11-13T15:01:18.000Z,68084
TaTleo4cOs8,2017-11-12T18:30:01.000Z,279092
GgVmn66oK_A,2017-11-12T14:00:00.000Z,692631
ogYum4kWXgk,2017-11-13T13:00:06.000Z,155285
kIUHDwn51y8,2017-11-13T15:00:05.000Z,93829
Lz7dya576HY,2017-11-13T15:00:03.000Z,31639
zNqCVTs38nU,2017-11-13T02:15:30.000Z,37524
ZAQs-ctOqXQ,2017-11-12T17:00:05.000Z,358358
fcVjitaM3LY,2017-11-13T12:13:36.000Z,158173
kqmhCaF5_44,2017-11-14T16:10:38.000Z,45200
B5HORANmzHw,2017-11-12T22:00:01.000Z,286577
6VhU_T463sU,2017-11-12T15:00:01.000Z,315177
JBZTZZAcFTw,2017-11-12T16:00:01.000Z,225044
eAyxMv4IBH8,2017-11-12T00:01:11.000Z,399491
qeWvgZLz9yU,2017-11-13T16:00:03.000Z,231104
EJu_wPGFTw0,2017-11-14T15:20:12.000Z,5813
MKLlDnUqho4,2017-11-14T16:30:00.000Z,18317
wwZ-T_WQ03A,2017-11-12T16:46:33.000Z,246134
9XSULcLI6Hg,2017-11-12T15:24:29.000Z,32483
hz7ukDjuq4w,2017-11-12T23:41:37.000Z,113462
p2hJxyF7mok,2017-11-12T05:55:42.000Z,311621
CBVGjS_EJok,2017-11-06T17:52:50.000Z,94229
i-LCORFB860,2017-11-13T09:21:27.000Z,571588
dRpNZV18N_g,2017-11-12T14:00:04.000Z,272604
vWYyZMH_QjA,2017-11-13T17:26:03.000Z,42336
MNiweoKXwfg,2017-11-13T17:00:26.000Z,13750
VJlSq6h0LNg,2017-11-13T18:41:18.000Z,6684
ijJPFowBsBc,2017-11-12T17:00:02.000Z,128523
HBS9783c0BI,2017-11-14T06:47:03.000Z,102639
n1WpP7iowLc,2017-11-10T17:00:03.000Z,20539417
PABlVzeldaM,2017-11-12T13:13:33.000Z,238413
JwboxqDylgg,2017-11-13T05:53:49.000Z,41029
dQvIbulWCM4,2017-11-12T23:41:48.000Z,805124
pjuPpVLXDQg,2017-11-13T00:46:11.000Z,55140
