video_id,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
HNa_UWX51_s,10844,302,555,https://i.ytimg.com/vi/HNa_UWX51_s/default.jpg,FALSE,FALSE,FALSE
08nkwgZIE4I,23338,442,1101,https://i.ytimg.com/vi/08nkwgZIE4I/default.jpg,FALSE,FALSE,FALSE
5Smb3tZD1Qc,3454,284,623,https://i.ytimg.com/vi/5Smb3tZD1Qc/default.jpg,FALSE,FALSE,FALSE
YHDbsyyjld0,4250,16,408,https://i.ytimg.com/vi/YHDbsyyjld0/default.jpg,FALSE,FALSE,FALSE
uyl6WtHEYOQ,681,25,45,https://i.ytimg.com/vi/uyl6WtHEYOQ/default.jpg,FALSE,FALSE,FALSE
bhoFXkVy8JA,40,79,17,https://i.ytimg.com/vi/bhoFXkVy8JA/default.jpg,FALSE,FALSE,FALSE
_w58R1OGQFA,569,42,44,https://i.ytimg.com/vi/_w58R1OGQFA/default.jpg,FALSE,FALSE,FALSE
BEweWXa5Twk,23634,460,1714,https://i.ytimg.com/vi/BEweWXa5Twk/default.jpg,FALSE,FALSE,FALSE
egXr0PU-kCY,47793,1886,5358,https://i.ytimg.com/vi/egXr0PU-kCY/default.jpg,FALSE,FALSE,FALSE
fIQ2Ty2OL34,420,10,236,https://i.ytimg.com/vi/fIQ2Ty2OL34/default.jpg,FALSE,FALSE,FALSE
d_j512i2k6c,5748,332,1197,https://i.ytimg.com/vi/d_j512i2k6c/default.jpg,FALSE,FALSE,FALSE
4d07RXYLsJE,3,0,2,https://i.ytimg.com/vi/4d07RXYLsJE/default.jpg,FALSE,FALSE,FALSE
DOIw62TXYkg,2707,200,209,https://i.ytimg.com/vi/DOIw62TXYkg/default.jpg,FALSE,FALSE,FALSE
0lbJHqAGpbA,258,5,10,https://i.ytimg.com/vi/0lbJHqAGpbA/default.jpg,FALSE,FALSE,FALSE
JuP1Z8xpRb8,1666,36,150,https://i.ytimg.com/vi/JuP1Z8xpRb8/default.jpg,FALSE,FALSE,FALSE
CR9zYgr84QY,5723,55,263,https://i.ytimg.com/vi/CR9zYgr84QY/default.jpg,FALSE,FALSE,FALSE
1640fZpYBSY,1211,72,593,https://i.ytimg.com/vi/1640fZpYBSY/default.jpg,FALSE,FALSE,FALSE
M2-IpsWQUWs,6243,106,414,https://i.ytimg.com/vi/M2-IpsWQUWs/default.jpg,FALSE,FALSE,FALSE
7m630xvAJtA,121,3,19,https://i.ytimg.com/vi/7m630xvAJtA/default.jpg,FALSE,FALSE,FALSE
510KQ_LXGww,86207,1775,710,https://i.ytimg.com/vi/510KQ_LXGww/default.jpg,FALSE,FALSE,FALSE
CO9dIyNM_9Q,633,174,765,https://i.ytimg.com/vi/CO9dIyNM_9Q/default.jpg,FALSE,FALSE,FALSE
hX643KbiI4s,998,93,289,https://i.ytimg.com/vi/hX643KbiI4s/default.jpg,FALSE,FALSE,FALSE
mwpHSMv1pI4,15130,223,1143,https://i.ytimg.com/vi/mwpHSMv1pI4/default.jpg,FALSE,FALSE,FALSE
Mfiim71QdYQ,426,88,550,https://i.ytimg.com/vi/Mfiim71QdYQ/default.jpg,FALSE,FALSE,FALSE
UFPSIa1cLRQ,2195,28,154,https://i.ytimg.com/vi/UFPSIa1cLRQ/default.jpg,FALSE,FALSE,FALSE
o78x918zbFk,56867,2148,25326,https://i.ytimg.com/vi/o78x918zbFk/default.jpg,FALSE,FALSE,FALSE
iNf6VErGDLI,67227,1473,4645,https://i.ytimg.com/vi/iNf6VErGDLI/default.jpg,FALSE,FALSE,FALSE
6ixU_vdE0Es,20289,38,939,https://i.ytimg.com/vi/6ixU_vdE0Es/default.jpg,FALSE,FALSE,FALSE
wRGldR_SQAA,0,0,0,https://i.ytimg.com/vi/wRGldR_SQAA/default.jpg,FALSE,FALSE,FALSE
agKDPntMv-E,4037,430,1553,https://i.ytimg.com/vi/agKDPntMv-E/default.jpg,FALSE,FALSE,FALSE
Xl38SuxyrgM,147,13,47,https://i.ytimg.com/vi/Xl38SuxyrgM/default.jpg,FALSE,FALSE,FALSE
u7pV4vxD1bs,57,59,79,https://i.ytimg.com/vi/u7pV4vxD1bs/default.jpg,FALSE,FALSE,FALSE
zYWt2mnalP8,8388,691,950,https://i.ytimg.com/vi/zYWt2mnalP8/default.jpg,FALSE,FALSE,FALSE
PoNWU2cox9w,16352,224,841,https://i.ytimg.com/vi/PoNWU2cox9w/default.jpg,FALSE,FALSE,FALSE
6hTzM1BPdU8,5684,53,737,https://i.ytimg.com/vi/6hTzM1BPdU8/default.jpg,FALSE,FALSE,FALSE
MCW5HUkrr-o,29990,341,1788,https://i.ytimg.com/vi/MCW5HUkrr-o/default.jpg,FALSE,FALSE,FALSE
YvfYK0EEhK4,14132,795,666,https://i.ytimg.com/vi/YvfYK0EEhK4/default.jpg,FALSE,FALSE,FALSE
cxMvzK2OQTw,4854,1439,1267,https://i.ytimg.com/vi/cxMvzK2OQTw/default.jpg,FALSE,FALSE,FALSE
bAkEd8r7Nnw,63995,896,4697,https://i.ytimg.com/vi/bAkEd8r7Nnw/default.jpg,FALSE,FALSE,FALSE
ItYOdWRo0JY,28647,17815,7860,https://i.ytimg.com/vi/ItYOdWRo0JY/default.jpg,FALSE,FALSE,FALSE
5530I_pYjbo,87615,391,5575,https://i.ytimg.com/vi/5530I_pYjbo/default.jpg,FALSE,FALSE,FALSE
dUMH6DVYskc,3687,1273,1224,https://i.ytimg.com/vi/dUMH6DVYskc/default.jpg,FALSE,FALSE,FALSE
gjXrm2Q-te4,58474,837,3294,https://i.ytimg.com/vi/gjXrm2Q-te4/default.jpg,FALSE,FALSE,FALSE
9SK1I0V6U5c,60983,578,3837,https://i.ytimg.com/vi/9SK1I0V6U5c/default.jpg,FALSE,FALSE,FALSE
